GW1-SF9,GW2-SF9,GW3-SF9,GW1-SF10,GW2-SF10,GW3-SF10,GW4-SF10,GW4-SF10,latitude ,longitude
-101,-132,-95,-89,-100,-92,-93,-88,16.92773,42.58829
-98,-132,-96,-86,-95,-132,-96,-86,16.92699,42.58786
-105,-132,-94,-87,-104,-132,-95,-86,16.92682,42.58711
-100,-93,-93,-85,-96,-132,-92,-84,16.9268,42.5859
-103,-91,-94,-85,-102,-82,-93,-84,16.92731,42.5859
-99,-88,-91,-88,-97,-85,-92,-92,16.92788,42.58461
-100,-91,-93,-86,-99,-89,-93,-86,16.9264,42.58381
-100,-92,-92,-89,-100,-90,-92,-90,16.9267,42.5821
-100,-92,-94,-85,-99,-88,-93,-85,16.92728,42.58182
-99,-90,-93,-88,-98,-91,-94,-89,16.92722,42.58259
-98,-92,-95,-88,-96,-91,-97,-89,16.92681,42.58271
-98,-90,-93,-86,-98,-88,-93,-86,16.92698,42.58323
-99,-91,-93,-87,-98,-91,-92,-86,16.92743,42.5832
-101,-91,-94,-90,-101,-89,-94,-91,16.928,42.5832
-100,-92,-93,-92,-98,-89,-93,-90,16.9281,42.58251
-100,-91,-94,-90,-100,-90,-93,-92,16.92788,42.58381
-98,-92,-93,-89,-98,-92,-93,-88,16.92749,42.58385
-97,-91,-92,-88,-96,-92,-94,-90,16.92694,42.58391
-101,-90,-94,-85,-100,-88,-92,-87,16.92702,42.58462
-99,-89,-93,-89,-100,-87,-91,-92,16.92809,42.5818
-99,-84,-94,-90,-99,-90,-95,-89,16.928,42.581
-100,-89,-94,-89,-99,-89,-93,-87,16.92811,42.5799
-103,-89,-93,-91,-102,-89,-92,-89,16.92761,42.57959
-100,-132,-95,-89,-99,-89,-95,-88,16.9266,42.58081
-100,-132,-93,-89,-97,-132,-93,-88,16.92742,42.58081
-97,-132,-93,-88,-99,-89,-94,-89,16.92752,42.57953
-99,-132,-93,-85,-99,-91,-94,-87,16.92704,42.57924
-96,-90,-95,-88,-95,-91,-92,-87,16.92633,42.57879
-103,-90,-95,-92,-101,-91,-94,-90,16.93211,42.58438
-99,-92,-94,-93,-100,-91,-94,-92,16.93133,42.58421
-97,-132,-95,-132,-98,-92,-94,-88,16.93059,42.58402
-98,-92,-95,-91,-98,-92,-95,-91,16.93008,42.58391
-99,-132,-97,-91,-99,-132,-94,-89,16.92977,42.58301
-98,-132,-96,-96,-97,-132,-95,-92,16.9301,42.58303
-99,-92,-93,-91,-97,-92,-94,-93,16.93101,42.58309
-102,-132,-94,-93,-102,-91,-93,-90,16.93183,42.58324
-99,-90,-94,-90,-99,-91,-92,-90,16.93209,42.5825
-101,-96,-95,-89,-99,-91,-94,-90,16.93217,42.5817
-98,-92,-94,-92,-97,-90,-93,-91,16.93131,42.58161
-99,-90,-94,-91,-98,-89,-93,-91,16.9307,42.5816
-99,-132,-98,-91,-99,-95,-96,-91,16.9307,42.5823
-98,-132,-94,-92,-98,-90,-94,-90,16.92971,42.58219
-97,-132,-98,-92,-98,-132,-97,-91,16.92941,42.58143
-98,-132,-132,-91,-97,-132,-96,-89,16.92909,42.58106
-96,-132,-132,-90,-96,-132,-94,-90,16.9291,42.5803
-96,-132,-94,-93,-94,-91,-96,-90,16.9296,42.5803
-98,-132,-97,-92,-97,-132,-94,-90,16.9298,42.5809
-100,-132,-95,-91,-99,-91,-94,-92,16.9307,42.58109
-98,-132,-132,-91,-98,-132,-99,-91,16.93075,42.5804
-101,-132,-94,-91,-100,-88,-95,-91,16.93181,42.57981
-97,-132,-132,-91,-98,-92,-96,-90,16.931,42.5797
-98,-132,-132,-91,-97,-92,-96,-90,16.93019,42.5798
-98,-92,-95,-91,-99,-90,-95,-91,16.9319,42.57918
-99,-132,-94,-91,-100,-89,-95,-91,16.93098,42.57913
-97,-132,-132,-91,-98,-132,-100,-89,16.93003,42.57905
-96,-95,-95,-90,-97,-89,-93,-90,16.93186,42.57847
-99,-95,-95,-90,-99,-92,-94,-89,16.93084,42.57837
-98,-93,-96,-90,-98,-92,-95,-90,16.93002,42.57833
-101,-90,-96,-91,-100,-91,-95,-90,16.93001,42.5775
-98,-132,-93,-89,-98,-89,-92,-90,16.93112,42.5776
-98,-132,-132,-88,-98,-132,-132,-90,16.93139,42.57657
-101,-132,-132,-91,-101,-132,-132,-90,16.93138,42.57551
-97,-132,-95,-88,-96,-132,-97,-90,16.9313,42.57468
-99,-132,-132,-89,-99,-132,-132,-88,16.93109,42.57385
-99,-87,-92,-90,-99,-93,-94,-90,16.93051,42.57148
-94,-132,-93,-91,-93,-90,-95,-90,16.92982,42.5712
-103,-91,-95,-92,-103,-92,-94,-91,16.92829,42.57921
-101,-132,-96,-94,-100,-90,-95,-92,16.92757,42.57889
-98,-132,-95,-92,-97,-132,-96,-89,16.9268,42.57838
-98,-132,-132,-90,-96,-132,-96,-90,16.92611,42.57729
-98,-132,-94,-89,-98,-132,-96,-90,16.927,42.57725
-101,-132,-96,-92,-102,-89,-95,-90,16.9278,42.5772
-100,-132,-94,-93,-97,-91,-94,-91,16.9278,42.5763
-106,-89,-94,-88,-102,-86,-93,-87,16.92685,42.57618
-106,-132,-94,-90,-103,-91,-95,-88,16.92592,42.5761
-102,-91,-96,-89,-100,-132,-95,-90,16.92589,42.57523
-103,-84,-93,-89,-100,-92,-93,-88,16.92681,42.57533
-105,-132,-96,-90,-102,-91,-92,-86,16.9269,42.5748
-106,-132,-95,-89,-101,-91,-95,-88,16.92581,42.57467
