GW1-SF9,GW2-SF9,GW3-SF9,GW4-SF9,GW1-SF12,GW2-SF12,GW3-SF12,GW4-SF12,latitude,longitude
-101,-132,-95,-89,-99,-89,-94,-86,16.92775,42.58827
-98,-132,-96,-86,-94,-89,-95,-87,16.92697,42.58784
-105,-132,-94,-87,-101,-89,-94,-87,16.92682,42.58712
-100,-93,-93,-85,-96,-132,-92,-86,16.92678,42.58591
-103,-91,-94,-85,-101,-87,-93,-86,16.9273,42.58589
-99,-88,-91,-88,-99,-86,-90,-91,16.92787,42.58467
-100,-91,-93,-86,-98,-88,-92,-86,16.9264,42.58378
-100,-92,-92,-89,-99,-86,-92,-90,16.92668,42.58207
-100,-92,-94,-85,-98,-86,-92,-84,16.92723,42.58184
-99,-90,-93,-88,-99,-87,-92,-88,16.92726,42.58258
-98,-92,-95,-88,-96,-87,-93,-87,16.9268,42.58269
-98,-90,-93,-86,-96,-85,-90,-85,16.92699,42.58324
-99,-91,-93,-87,-98,-86,-92,-86,16.9274,42.5832
-101,-91,-94,-90,-100,-86,-93,-90,16.928,42.5832
-100,-92,-93,-92,-98,-88,-92,-90,16.92809,42.58251
-100,-91,-94,-90,-100,-87,-92,-91,16.92789,42.58381
-98,-92,-93,-89,-98,-86,-92,-88,16.9275,42.5839
-97,-91,-92,-88,-96,-86,-95,-89,16.92691,42.58389
-101,-90,-94,-85,-98,-86,-92,-86,16.927,42.58459
-99,-89,-93,-89,-98,-86,-93,-91,16.92808,42.5818
-99,-84,-94,-90,-96,-85,-92,-90,16.928,42.58101
-100,-89,-94,-89,-98,-87,-91,-89,16.92811,42.57992
-103,-89,-93,-91,-99,-86,-93,-90,16.9276,42.5796
-100,-132,-95,-89,-98,-88,-94,-88,16.92658,42.58082
-100,-132,-93,-89,-97,-87,-89,-88,16.92745,42.58082
-97,-132,-93,-88,-98,-86,-91,-88,16.92754,42.57957
-99,-132,-93,-85,-97,-87,-91,-85,16.92705,42.57925
-96,-90,-95,-88,-95,-84,-91,-87,16.92634,42.57877
-103,-90,-95,-92,-101,-88,-93,-91,16.9321,42.58436
-99,-92,-94,-93,-96,-91,-94,-90,16.93131,42.5842
-97,-132,-95,-132,-97,-90,-94,-91,16.9306,42.58401
-99,-132,-95,-96,-96,-90,-94,-91,16.92965,42.58384
-99,-132,-97,-91,-97,-90,-94,-91,16.92973,42.583
-98,-132,-96,-96,-97,-93,-94,-90,16.93009,42.58302
-99,-92,-93,-91,-98,-88,-94,-91,16.93101,42.58306
-102,-132,-94,-93,-99,-87,-92,-91,16.93186,42.58325
-99,-90,-94,-90,-98,-88,-92,-89,16.9321,42.58246
